expression,reading,meaning,tags,guid
現像,げんぞう,developing (film),JLPT_1 JLPT,v9bha+<cj}
原則,げんそく,"principle, general rule",JLPT_1 JLPT,dVC[`t${#`
見地,けんち,point of view,JLPT_1 JLPT,wk)a!>hpi:
現地,げんち,"actual place, local",JLPT_1 JLPT,G$>SwAUY5:
限定,げんてい,"limit, restriction",JLPT_1 JLPT,o%F/8(![P3
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT,bXdt~Sz`DP
原典,げんてん,"original, source",JLPT_1 JLPT,EB`MVeV|+3
原爆,げんばく,atomic bomb,JLPT_1 JLPT,qVu!~xa[nC
原文,げんぶん,"the text, original",JLPT_1 JLPT,w>egRzs&//
厳密,げんみつ,"strict, close",JLPT_1 JLPT,k<}V}HBo:Y
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT,rF6VPIq@Kt
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT,G)qGN7wCPF
原油,げんゆ,crude oil,JLPT_1 JLPT,mqzQ4phBV%
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT,Q[mY;6;Blm
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT,zLBVbQJht)
言論,げんろん,"discussion, speech",JLPT_1 JLPT,j=]X!_Sn:<
故～,こ～,"deceased, late",JLPT_1 JLPT,l<k2Hl<qF:
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT,dg-x#L-S>s
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT,x>yH@(e$>B
甲,こう,1st in rank; shell,JLPT_1 JLPT,gr(P$T&hE)
～光,～こう,light,JLPT_1 JLPT,dR[Ye:I0gD
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT,f{|~G`MfSc
行為,こうい,"act, deed, conduct",JLPT_1 JLPT,"x,?`vew_Y^"
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT,u5DPHkD^67
工学,こうがく,engineering,JLPT_1 JLPT,nLBSX>%S~{
抗議,こうぎ,"protest, objection",JLPT_1 JLPT,N%yl^:99*x
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT,g]f7CW]TnO
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT,s3?rVk?BGD
